Strain	Carbon_source	BdStrain	Spearman_rho	p_value	Significant	N	comparison
39	HP1C	Yeast extract	Jel197	-0.4	0.516666666666667	FALSE	5	Temp600
40	HP1C	Yeast extract	Jel423	-0.4	0.516666666666667	FALSE	5	Temp600
41	P060114-29-3-1	Acetate	Jel197	0.3	0.683333333333333	FALSE	5	Temp600
42	P060114-29-3-1	Acetate	Jel423	0.205195670417031	0.740581941591072	FALSE	5	Temp600
43	P060114-29-3-1	Arabinose	Jel197	0.3	0.683333333333333	FALSE	5	Temp600
44	P060114-29-3-1	Arabinose	Jel423	0.205195670417031	0.740581941591072	FALSE	5	Temp600
45	P060114-29-3-1	Citrate	Jel197	-0.8	0.133333333333333	FALSE	5	Temp600
46	P060114-29-3-1	Citrate	Jel423	-0.8	0.133333333333333	FALSE	5	Temp600
47	P060114-29-3-1	Dextrose	Jel197	-0.8	0.133333333333333	FALSE	5	Temp600
48	P060114-29-3-1	Dextrose	Jel423	-0.8	0.133333333333333	FALSE	5	Temp600
49	P060114-29-3-1	Fructose	Jel197	-0.3	0.683333333333333	FALSE	5	Temp600
50	P060114-29-3-1	Fructose	Jel423	-0.3	0.683333333333333	FALSE	5	Temp600
51	P060114-29-3-1	Galactose	Jel197	-0.3	0.683333333333333	FALSE	5	Temp600
52	P060114-29-3-1	Galactose	Jel423	-0.3	0.683333333333333	FALSE	5	Temp600
53	P060114-29-3-1	Heart infusion	Jel197	-0.9	0.0833333333333333	FALSE	5	Temp600
54	P060114-29-3-1	Heart infusion	Jel423	-0.9	0.0833333333333333	FALSE	5	Temp600
55	P060114-29-3-1	LB	Jel197	-0.8	0.133333333333333	FALSE	5	Temp600
56	P060114-29-3-1	LB	Jel423	-0.8	0.133333333333333	FALSE	5	Temp600
57	P060114-29-3-1	Lactose	Jel197	-0.9	0.0833333333333333	FALSE	5	Temp600
58	P060114-29-3-1	Lactose	Jel423	-0.9	0.0833333333333333	FALSE	5	Temp600
59	P060114-29-3-1	Malt extract	Jel197	-0.6	0.35	FALSE	5	Temp600
60	P060114-29-3-1	Malt extract	Jel423	-0.6	0.35	FALSE	5	Temp600
61	P060114-29-3-1	Mannitol	Jel197	-0.7	0.233333333333333	FALSE	5	Temp600
62	P060114-29-3-1	Mannitol	Jel423	-0.7	0.233333333333333	FALSE	5	Temp600
63	P060114-29-3-1	Mannose	Jel197	-0.8	0.133333333333333	FALSE	5	Temp600
64	P060114-29-3-1	Mannose	Jel423	-0.8	0.133333333333333	FALSE	5	Temp600
65	P060114-29-3-1	N-acetyl glucosamine	Jel197	-0.6	0.35	FALSE	5	Temp600
66	P060114-29-3-1	N-acetyl glucosamine	Jel423	-0.6	0.35	FALSE	5	Temp600
67	P060114-29-3-1	Peptone	Jel197	0	1	FALSE	5	Temp600
68	P060114-29-3-1	Peptone	Jel423	0	1	FALSE	5	Temp600
69	P060114-29-3-1	Pyruvate	Jel197	-0.4	0.516666666666667	FALSE	5	Temp600
70	P060114-29-3-1	Pyruvate	Jel423	-0.4	0.516666666666667	FALSE	5	Temp600
71	P060114-29-3-1	R2A	Jel197	-0.7	0.233333333333333	FALSE	5	Temp600
72	P060114-29-3-1	R2A	Jel423	-0.7	0.233333333333333	FALSE	5	Temp600
73	P060114-29-3-1	Succinate	Jel197	-0.5	0.45	FALSE	5	Temp600
74	P060114-29-3-1	Succinate	Jel423	-0.5	0.45	FALSE	5	Temp600
75	P060114-29-3-1	Tryptone	Jel197	-0.4	0.516666666666667	FALSE	5	Temp600
76	P060114-29-3-1	Tryptone	Jel423	-0.4	0.516666666666667	FALSE	5	Temp600
77	P060114-29-3-1	Xylose	Jel197	-0.7	0.233333333333333	FALSE	5	Temp600
78	P060114-29-3-1	Xylose	Jel423	-0.7	0.233333333333333	FALSE	5	Temp600
79	P060114-29-3-1	Yeast extract	Jel197	-0.7	0.233333333333333	FALSE	5	Temp600
80	P060114-29-3-1	Yeast extract	Jel423	-0.7	0.233333333333333	FALSE	5	Temp600
81	Panama13O	Acetate	Jel197	-0.4	0.252072	FALSE	10	Temp600
82	Panama13O	Acetate	Jel423	-0.4	0.252072	FALSE	10	Temp600
83	Panama13O	Arabinose	Jel197	-0.4	0.252072	FALSE	10	Temp600
84	Panama13O	Arabinose	Jel423	-0.4	0.252072	FALSE	10	Temp600
85	Panama13O	Citrate	Jel197	-0.4	0.252072	FALSE	10	Temp600
86	Panama13O	Citrate	Jel423	-0.4	0.252072	FALSE	10	Temp600
87	Panama13O	Dextrose	Jel197	-0.4	0.252072	FALSE	10	Temp600
88	Panama13O	Dextrose	Jel423	-0.4	0.252072	FALSE	10	Temp600
89	Panama13O	Fructose	Jel197	-0.4	0.252072	FALSE	10	Temp600
90	Panama13O	Fructose	Jel423	-0.4	0.252072	FALSE	10	Temp600
91	Panama13O	Galactose	Jel197	0.1	0.78342440625	FALSE	10	Temp600
92	Panama13O	Galactose	Jel423	0.1	0.78342440625	FALSE	10	Temp600
93	Panama13O	Heart infusion	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
94	Panama13O	Heart infusion	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
95	Panama13O	LB	Jel197	-0.9	0.000387156250000001	TRUE	10	Temp600
96	Panama13O	LB	Jel423	-0.9	0.000387156250000001	TRUE	10	Temp600
97	Panama13O	Lactose	Jel197	-0.3	0.39969146875	FALSE	10	Temp600
98	Panama13O	Lactose	Jel423	-0.3	0.39969146875	FALSE	10	Temp600
99	Panama13O	Malt extract	Jel197	0	1	FALSE	10	Temp600
100	Panama13O	Malt extract	Jel423	0	1	FALSE	10	Temp600
101	Panama13O	Mannitol	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
102	Panama13O	Mannitol	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
103	Panama13O	Mannose	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
104	Panama13O	Mannose	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
105	Panama13O	N-acetyl glucosamine	Jel197	-0.9	0.000387156250000001	TRUE	10	Temp600
106	Panama13O	N-acetyl glucosamine	Jel423	-0.9	0.000387156250000001	TRUE	10	Temp600
107	Panama13O	Peptone	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
108	Panama13O	Peptone	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
109	Panama13O	Pyruvate	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
110	Panama13O	Pyruvate	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
111	Panama13O	R2A	Jel197	-0.6	0.0666879999999999	FALSE	10	Temp600
112	Panama13O	R2A	Jel423	-0.6	0.0666879999999999	FALSE	10	Temp600
113	Panama13O	Succinate	Jel197	-0.4	0.252072	FALSE	10	Temp600
114	Panama13O	Succinate	Jel423	-0.4	0.252072	FALSE	10	Temp600
115	Panama13O	Tryptone	Jel197	0.0512989176042577	0.888078458028884	FALSE	10	Temp600
116	Panama13O	Tryptone	Jel423	0.0512989176042577	0.888078458028884	FALSE	10	Temp600
117	Panama13O	Xylose	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
118	Panama13O	Xylose	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
119	Panama13O	Yeast extract	Jel197	-0.6	0.0666879999999999	FALSE	10	Temp600
120	Panama13O	Yeast extract	Jel423	-0.6	0.0666879999999999	FALSE	10	Temp600
121	Panama68B	Acetate	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
122	Panama68B	Acetate	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
123	Panama68B	Arabinose	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
124	Panama68B	Arabinose	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
125	Panama68B	Citrate	Jel197	-0.6	0.0666879999999999	FALSE	10	Temp600
126	Panama68B	Citrate	Jel423	-0.6	0.0666879999999999	FALSE	10	Temp600
127	Panama68B	Dextrose	Jel197	-0.66688592885535	0.0351830262577784	TRUE	10	Temp600
128	Panama68B	Dextrose	Jel423	-0.66688592885535	0.0351830262577784	TRUE	10	Temp600
129	Panama68B	Fructose	Jel197	-0.4	0.252072	FALSE	10	Temp600
130	Panama68B	Fructose	Jel423	-0.4	0.252072	FALSE	10	Temp600
131	Panama68B	Galactose	Jel197	0.1	0.78342440625	FALSE	10	Temp600
132	Panama68B	Galactose	Jel423	0.1	0.78342440625	FALSE	10	Temp600
133	Panama68B	Heart infusion	Jel197	0	1	FALSE	10	Temp600
134	Panama68B	Heart infusion	Jel423	0	1	FALSE	10	Temp600
135	Panama68B	LB	Jel197	-0.974679434480897	1.7442718459491e-06	TRUE	10	Temp600
136	Panama68B	LB	Jel423	-0.974679434480897	1.7442718459491e-06	TRUE	10	Temp600
137	Panama68B	Lactose	Jel197	-0.6	0.0666879999999999	FALSE	10	Temp600
138	Panama68B	Lactose	Jel423	-0.6	0.0666879999999999	FALSE	10	Temp600
139	Panama68B	Malt extract	Jel197	-0.6	0.0666879999999999	FALSE	10	Temp600
140	Panama68B	Malt extract	Jel423	-0.6	0.0666879999999999	FALSE	10	Temp600
141	Panama68B	Mannitol	Jel197	-0.708860759493671	0.0217278608059034	TRUE	10	Temp600
142	Panama68B	Mannitol	Jel423	-0.556962025316456	0.0944387663743811	FALSE	10	Temp600
143	Panama68B	Mannose	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
144	Panama68B	Mannose	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
145	Panama68B	N-acetyl glucosamine	Jel197	0.205195670417031	0.569561395178136	FALSE	10	Temp600
146	Panama68B	N-acetyl glucosamine	Jel423	0.205195670417031	0.569561395178136	FALSE	10	Temp600
147	Panama68B	Peptone	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
148	Panama68B	Peptone	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
149	Panama68B	Pyruvate	Jel197	-0.359092423229804	0.308179322169245	FALSE	10	Temp600
150	Panama68B	Pyruvate	Jel423	-0.359092423229804	0.308179322169245	FALSE	10	Temp600
151	Panama68B	R2A	Jel197	-0.8	0.00545600000000004	TRUE	10	Temp600
152	Panama68B	R2A	Jel423	-0.8	0.00545600000000004	TRUE	10	Temp600
153	Panama68B	Succinate	Jel197	-0.4	0.252072	FALSE	10	Temp600
154	Panama68B	Succinate	Jel423	-0.4	0.252072	FALSE	10	Temp600
155	Panama68B	Tryptone	Jel197	0	1	FALSE	10	Temp600
156	Panama68B	Tryptone	Jel423	0	1	FALSE	10	Temp600
157	Panama68B	Xylose	Jel197	-0.359092423229804	0.308179322169245	FALSE	10	Temp600
158	Panama68B	Xylose	Jel423	-0.359092423229804	0.308179322169245	FALSE	10	Temp600
159	Panama68B	Yeast extract	Jel197	-0.6	0.0666879999999999	FALSE	10	Temp600
160	Panama68B	Yeast extract	Jel423	-0.6	0.0666879999999999	FALSE	10	Temp600
161	RSM3.2	Acetate	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
162	RSM3.2	Acetate	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
163	RSM3.2	Arabinose	Jel197	-0.4	0.252072	FALSE	10	Temp600
164	RSM3.2	Arabinose	Jel423	-0.4	0.252072	FALSE	10	Temp600
165	RSM3.2	Citrate	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
166	RSM3.2	Citrate	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
167	RSM3.2	Dextrose	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
168	RSM3.2	Dextrose	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
169	RSM3.2	Fructose	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
170	RSM3.2	Fructose	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
171	RSM3.2	Galactose	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
172	RSM3.2	Galactose	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
173	RSM3.2	Heart infusion	Jel197	-0.4	0.252072	FALSE	10	Temp600
174	RSM3.2	Heart infusion	Jel423	-0.4	0.252072	FALSE	10	Temp600
175	RSM3.2	LB	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
176	RSM3.2	LB	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
177	RSM3.2	Lactose	Jel197	-0.9	0.000387156250000001	TRUE	10	Temp600
178	RSM3.2	Lactose	Jel423	-0.9	0.000387156250000001	TRUE	10	Temp600
179	RSM3.2	Malt extract	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
180	RSM3.2	Malt extract	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
181	RSM3.2	Mannitol	Jel197	-0.9	0.000387156250000001	TRUE	10	Temp600
182	RSM3.2	Mannitol	Jel423	-0.9	0.000387156250000001	TRUE	10	Temp600
183	RSM3.2	Mannose	Jel197	-0.4	0.252072	FALSE	10	Temp600
184	RSM3.2	Mannose	Jel423	-0.4	0.252072	FALSE	10	Temp600
185	RSM3.2	N-acetyl glucosamine	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
186	RSM3.2	N-acetyl glucosamine	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
187	RSM3.2	Peptone	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
188	RSM3.2	Peptone	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
189	RSM3.2	Pyruvate	Jel197	-0.66688592885535	0.0351830262577784	TRUE	10	Temp600
190	RSM3.2	Pyruvate	Jel423	-0.66688592885535	0.0351830262577784	TRUE	10	Temp600
191	RSM3.2	R2A	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
192	RSM3.2	R2A	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
193	RSM3.2	Succinate	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
194	RSM3.2	Succinate	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
195	RSM3.2	Tryptone	Jel197	-0.4	0.252072	FALSE	10	Temp600
196	RSM3.2	Tryptone	Jel423	-0.4	0.252072	FALSE	10	Temp600
197	RSM3.2	Xylose	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
198	RSM3.2	Xylose	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
199	RSM3.2	Yeast extract	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
200	RSM3.2	Yeast extract	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
201	THA3.2	Acetate	Jel197	-0.4	0.252072	FALSE	10	Temp600
202	THA3.2	Acetate	Jel423	-0.4	0.252072	FALSE	10	Temp600
203	THA3.2	Arabinose	Jel197	-0.4	0.252072	FALSE	10	Temp600
204	THA3.2	Arabinose	Jel423	-0.4	0.252072	FALSE	10	Temp600
205	THA3.2	Citrate	Jel197	-0.4	0.252072	FALSE	10	Temp600
206	THA3.2	Citrate	Jel423	-0.4	0.252072	FALSE	10	Temp600
207	THA3.2	Dextrose	Jel197	-0.4	0.252072	FALSE	10	Temp600
208	THA3.2	Dextrose	Jel423	-0.4	0.252072	FALSE	10	Temp600
209	THA3.2	Fructose	Jel197	-0.4	0.252072	FALSE	10	Temp600
210	THA3.2	Fructose	Jel423	-0.4	0.252072	FALSE	10	Temp600
211	THA3.2	Galactose	Jel197	0.1	0.78342440625	FALSE	10	Temp600
212	THA3.2	Galactose	Jel423	0.1	0.78342440625	FALSE	10	Temp600
213	THA3.2	Heart infusion	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
214	THA3.2	Heart infusion	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
215	THA3.2	LB	Jel197	-0.9	0.000387156250000001	TRUE	10	Temp600
216	THA3.2	LB	Jel423	-0.9	0.000387156250000001	TRUE	10	Temp600
217	THA3.2	Lactose	Jel197	-0.3	0.39969146875	FALSE	10	Temp600
218	THA3.2	Lactose	Jel423	-0.3	0.39969146875	FALSE	10	Temp600
219	THA3.2	Malt extract	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
220	THA3.2	Malt extract	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
221	THA3.2	Mannitol	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
222	THA3.2	Mannitol	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
223	THA3.2	Mannose	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
224	THA3.2	Mannose	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
225	THA3.2	N-acetyl glucosamine	Jel197	-0.6	0.00516292567367679	TRUE	20	Temp600
226	THA3.2	Peptone	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
227	THA3.2	Peptone	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
228	THA3.2	Pyruvate	Jel197	-0.7	0.000590058017483625	TRUE	20	Temp600
229	THA3.2	R2A	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
230	THA3.2	R2A	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
231	THA3.2	Succinate	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
232	THA3.2	Succinate	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
233	THA3.2	Tryptone	Jel197	-0.4	0.252072	FALSE	10	Temp600
234	THA3.2	Tryptone	Jel423	-0.4	0.252072	FALSE	10	Temp600
235	THA3.2	Xylose	Jel197	-0.9	6.57428454449704e-08	TRUE	20	Temp600
236	THA3.2	Yeast extract	Jel197	-0.7	0.02420634375	TRUE	10	Temp600
237	THA3.2	Yeast extract	Jel423	-0.7	0.02420634375	TRUE	10	Temp600
238	HP1C	Acetate	Jel197	-0.4	0.75	FALSE	4	Temp550
239	HP1C	Acetate	Jel423	-0.4	0.75	FALSE	4	Temp550
240	HP1C	Arabinose	Jel197	-0.6	0.35	FALSE	5	Temp550
241	HP1C	Arabinose	Jel423	-0.6	0.35	FALSE	5	Temp550
242	HP1C	Citrate	Jel197	NA	NA	NA	4	Temp550
243	HP1C	Citrate	Jel423	NA	NA	NA	4	Temp550
244	HP1C	Dextrose	Jel197	-0.2	0.783333333333333	FALSE	5	Temp550
245	HP1C	Dextrose	Jel423	-0.2	0.783333333333333	FALSE	5	Temp550
246	HP1C	Fructose	Jel197	-0.4	0.516666666666667	FALSE	5	Temp550
247	HP1C	Fructose	Jel423	-0.4	0.516666666666667	FALSE	5	Temp550
248	HP1C	Galactose	Jel197	0.8	0.333333333333333	FALSE	4	Temp550
249	HP1C	Galactose	Jel423	0.8	0.333333333333333	FALSE	4	Temp550
250	HP1C	Heart infusion	Jel197	-0.8	0.333333333333333	FALSE	4	Temp550
251	HP1C	Heart infusion	Jel423	-0.8	0.333333333333333	FALSE	4	Temp550
252	HP1C	LB	Jel197	0.2	0.916666666666667	FALSE	4	Temp550
253	HP1C	LB	Jel423	0.2	0.916666666666667	FALSE	4	Temp550
254	HP1C	Lactose	Jel197	-0.9	0.0833333333333333	FALSE	5	Temp550
255	HP1C	Lactose	Jel423	-0.9	0.0833333333333333	FALSE	5	Temp550
256	HP1C	Malt extract	Jel197	-0.2	0.916666666666667	FALSE	4	Temp550
257	HP1C	Malt extract	Jel423	-0.2	0.916666666666667	FALSE	4	Temp550
258	HP1C	Mannitol	Jel197	-0.4	0.75	FALSE	4	Temp550
259	HP1C	Mannitol	Jel423	-0.4	0.75	FALSE	4	Temp550
260	HP1C	Mannose	Jel197	-0.3	0.683333333333333	FALSE	5	Temp550
261	HP1C	Mannose	Jel423	-0.1	0.95	FALSE	5	Temp550
262	HP1C	N-acetyl glucosamine	Jel197	0.7	0.233333333333333	FALSE	5	Temp550
263	HP1C	N-acetyl glucosamine	Jel423	0.7	0.233333333333333	FALSE	5	Temp550
264	HP1C	Peptone	Jel197	1	0.0833333333333333	FALSE	4	Temp550
265	HP1C	Peptone	Jel423	1	0.0833333333333333	FALSE	4	Temp550
266	HP1C	Pyruvate	Jel197	1	0.0833333333333333	FALSE	4	Temp550
267	HP1C	Pyruvate	Jel423	1	0.0833333333333333	FALSE	4	Temp550
268	HP1C	R2A	Jel197	0.4	0.75	FALSE	4	Temp550
269	HP1C	R2A	Jel423	0.4	0.75	FALSE	4	Temp550
270	HP1C	Succinate	Jel197	-0.8	0.333333333333333	FALSE	4	Temp550
271	HP1C	Succinate	Jel423	-0.8	0.333333333333333	FALSE	4	Temp550
272	HP1C	Tryptone	Jel197	0.4	0.75	FALSE	4	Temp550
273	HP1C	Tryptone	Jel423	0.4	0.75	FALSE	4	Temp550
274	HP1C	Xylose	Jel197	-0.6	0.35	FALSE	5	Temp550
275	HP1C	Xylose	Jel423	-0.6	0.35	FALSE	5	Temp550
276	HP1C	Yeast extract	Jel197	0.7	0.233333333333333	FALSE	5	Temp550
277	HP1C	Yeast extract	Jel423	0.7	0.233333333333333	FALSE	5	Temp550
278	P060114-29-3-1	Acetate	Jel197	0.4	0.516666666666667	FALSE	5	Temp550
279	P060114-29-3-1	Acetate	Jel423	0.359092423229804	0.552814746643351	FALSE	5	Temp550
280	P060114-29-3-1	Arabinose	Jel197	0.4	0.516666666666667	FALSE	5	Temp550
281	P060114-29-3-1	Arabinose	Jel423	0.359092423229804	0.552814746643351	FALSE	5	Temp550
282	P060114-29-3-1	Citrate	Jel197	0.5	0.45	FALSE	5	Temp550
283	P060114-29-3-1	Citrate	Jel423	0.5	0.45	FALSE	5	Temp550
284	P060114-29-3-1	Dextrose	Jel197	0.9	0.0833333333333333	FALSE	5	Temp550
285	P060114-29-3-1	Dextrose	Jel423	0.9	0.0833333333333333	FALSE	5	Temp550
286	P060114-29-3-1	Fructose	Jel197	0.4	0.516666666666667	FALSE	5	Temp550
287	P060114-29-3-1	Fructose	Jel423	0.4	0.516666666666667	FALSE	5	Temp550
288	P060114-29-3-1	Galactose	Jel197	0.4	0.516666666666667	FALSE	5	Temp550
289	P060114-29-3-1	Galactose	Jel423	0.4	0.516666666666667	FALSE	5	Temp550
290	P060114-29-3-1	Heart infusion	Jel197	0.7	0.233333333333333	FALSE	5	Temp550
291	P060114-29-3-1	Heart infusion	Jel423	0.7	0.233333333333333	FALSE	5	Temp550
292	P060114-29-3-1	LB	Jel197	0.6	0.35	FALSE	5	Temp550
293	P060114-29-3-1	LB	Jel423	0.6	0.35	FALSE	5	Temp550
294	P060114-29-3-1	Lactose	Jel197	0.7	0.233333333333333	FALSE	5	Temp550
295	P060114-29-3-1	Lactose	Jel423	0.7	0.233333333333333	FALSE	5	Temp550
296	P060114-29-3-1	Malt extract	Jel197	0.1	0.95	FALSE	5	Temp550
297	P060114-29-3-1	Malt extract	Jel423	0.1	0.95	FALSE	5	Temp550
298	P060114-29-3-1	Mannitol	Jel197	0.1	0.95	FALSE	5	Temp550
299	P060114-29-3-1	Mannitol	Jel423	0.1	0.95	FALSE	5	Temp550
300	P060114-29-3-1	Mannose	Jel197	0.6	0.35	FALSE	5	Temp550
301	P060114-29-3-1	Mannose	Jel423	0.6	0.35	FALSE	5	Temp550
302	P060114-29-3-1	N-acetyl glucosamine	Jel197	0.1	0.95	FALSE	5	Temp550
303	P060114-29-3-1	N-acetyl glucosamine	Jel423	0.1	0.95	FALSE	5	Temp550
304	P060114-29-3-1	Peptone	Jel197	0.5	0.45	FALSE	5	Temp550
305	P060114-29-3-1	Peptone	Jel423	0.5	0.45	FALSE	5	Temp550
306	P060114-29-3-1	Pyruvate	Jel197	0.3	0.683333333333333	FALSE	5	Temp550
307	P060114-29-3-1	Pyruvate	Jel423	0.3	0.683333333333333	FALSE	5	Temp550
308	P060114-29-3-1	R2A	Jel197	-0.2	0.783333333333333	FALSE	5	Temp550
309	P060114-29-3-1	R2A	Jel423	-0.2	0.783333333333333	FALSE	5	Temp550
310	P060114-29-3-1	Succinate	Jel197	0	1	FALSE	5	Temp550
311	P060114-29-3-1	Succinate	Jel423	0	1	FALSE	5	Temp550
312	P060114-29-3-1	Tryptone	Jel197	-0.1	0.95	FALSE	5	Temp550
313	P060114-29-3-1	Tryptone	Jel423	-0.1	0.95	FALSE	5	Temp550
314	P060114-29-3-1	Xylose	Jel197	0.1	0.95	FALSE	5	Temp550
315	P060114-29-3-1	Xylose	Jel423	0.1	0.95	FALSE	5	Temp550
316	P060114-29-3-1	Yeast extract	Jel197	0.102597835208515	0.869597920518565	FALSE	5	Temp550
317	P060114-29-3-1	Yeast extract	Jel423	0.102597835208515	0.869597920518565	FALSE	5	Temp550
318	Panama13O	Acetate	Jel197	0.7	0.02420634375	TRUE	10	Temp550
319	Panama13O	Acetate	Jel423	0.7	0.02420634375	TRUE	10	Temp550
320	Panama13O	Arabinose	Jel197	0.615587011251092	0.0581372886060168	FALSE	10	Temp550
321	Panama13O	Arabinose	Jel423	0.615587011251092	0.0581372886060168	FALSE	10	Temp550
